country,pretty_name,position,market_value_in_gbp,age,LongitudeMeasure,LatitudeMeasure,value
Canada,Steven Vitoria,Defender,90000.0,34,-65.40998526723877,45.702418202943264,"90,000.0"
Canada,Ben Paton,Midfield,90000.0,21,-69.41956951978575,54.74919854725585,"90,000.0"
Canada,Harry Paton,Midfield,360000.0,23,-128.83379148196883,66.05708929153583,"360,000.0"
Canada,Fikayo Tomori,Defender,40500000.0,24,-86.30398939043108,73.5803185690823,"40,500,000.0"
Canada,Derek Cornelius,Defender,630000.0,24,-77.17699157430012,58.39680846305649,"630,000.0"
Canada,Jonathan De Guzman,Midfield,360000.0,34,-101.81678745170292,66.13027244971335,"360,000.0"
Canada,Cyle Larin,Attack,9000000.0,26,-113.71607876083948,62.02149696815795,"9,000,000.0"
Canada,Atiba Hutchinson,Midfield,248000.0,38,-100.4059603378119,72.35109500153894,"248,000.0"
Canada,Stephen Eustaquio,Midfield,4500000.0,25,-101.872376051255,53.32676628708101,"4,500,000.0"
Canada,Tajon Buchanan,Attack,8550000.0,22,-68.19903627163977,51.180129155848576,"8,550,000.0"
Canada,Bono,Goalkeeper,16200000.0,30,-85.56894410242145,49.60154964388852,"16,200,000.0"
Canada,Richlord Ennin,Attack,450000.0,23,-127.36823271272569,70.25149770651551,"450,000.0"
Kazakhstan,Alexander Merkel,Midfield,1350000.0,29,55.326286838931104,45.219698862968166,"1,350,000.0"
Kazakhstan,Ravil Tagir,Defender,1440000.0,18,71.41515341510814,47.40214077670662,"1,440,000.0"
Kazakhstan,Marat Bystrov,Defender,810000.0,29,59.37661059738695,47.6954793326193,"810,000.0"
Kazakhstan,Nuraly Alip,Defender,1350000.0,22,60.84619569599322,44.7679506677316,"1,350,000.0"
Kazakhstan,Bakhtiyor Zaynutdinov,Attack,3150000.0,23,68.88915495190129,46.88187285726645,"3,150,000.0"
Kazakhstan,Aleksandr Zuev,Attack,900000.0,25,68.45870604166142,53.18223162755024,"900,000.0"
Uzbekistan,Eldor Shomurodov,Attack,9000000.0,26,64.36101185802023,42.13264769610496,"9,000,000.0"
Uzbekistan,Waldemar Anton,Defender,5400000.0,25,66.6687220422733,38.2051926411768,"5,400,000.0"
Uzbekistan,Ibrokhimkhalil Yuldoshev,Defender,810000.0,20,64.05272103487671,43.32002590681116,"810,000.0"
Uzbekistan,Oston Urunov,Attack,630000.0,21,63.000386099100254,40.95276437098996,"630,000.0"
Indonesia,Emil Audero,Goalkeeper,6300000.0,24,115.75572137456994,-3.62032799020699,"6,300,000.0"
Argentina,Franco Di Santo,Attack,360000.0,32,-69.35866000546474,-38.52935401134886,"360,000.0"
Argentina,Gaston Campi,Defender,450000.0,30,-57.69986481865795,-28.04986843331412,"450,000.0"
Argentina,Diego Perotti,Attack,900000.0,33,-68.87435794868631,-43.19969346148591,"900,000.0"
Argentina,Federico Fazio,Defender,450000.0,34,-68.30090425809611,-24.527983709831854,"450,000.0"
Argentina,Salvador Sanchez,Defender,315000.0,26,-58.00988651737273,-27.686178612838965,"315,000.0"
Argentina,Jose Sosa,Midfield,270000.0,36,-69.76242460951033,-36.51723977121661,"270,000.0"
Argentina,Ignacio Pussetto,Attack,2700000.0,26,-62.24278034331401,-31.85025576752812,"2,700,000.0"
Argentina,Roberto Pereyra,Attack,6750000.0,30,-67.51685985738128,-34.58865418987235,"6,750,000.0"
Argentina,Nahuel Molina,Defender,9000000.0,23,-58.43201977310525,-32.9801582447886,"9,000,000.0"
Argentina,Nehuen Perez,Defender,4500000.0,21,-69.42721829222009,-33.66961769578616,"4,500,000.0"
Argentina,Sergio Romero,Goalkeeper,900000.0,34,-64.18348471010262,-25.88589219005525,"900,000.0"
Argentina,Fernando Muslera,Goalkeeper,1620000.0,35,-68.23290267278877,-38.41678348931809,"1,620,000.0"
Argentina,Lucas Biglia,Midfield,630000.0,35,-61.18463580795315,-37.09321046421951,"630,000.0"
Argentina,Lautaro Martinez,Attack,63000000.0,24,-64.91271464968811,-43.138552747012525,"63,000,000.0"
Argentina,Joaquin Correa,Attack,23400000.0,27,-67.50135716874217,-27.945502685768552,"23,400,000.0"
Argentina,Jose Luis Palomino,Defender,8100000.0,31,-71.6581451389367,-41.55416585538832,"8,100,000.0"
Argentina,Nicolas Gonzalez,Attack,21600000.0,23,-64.04456706233701,-36.78019343764619,"21,600,000.0"
Argentina,Lucas Martinez Quarta,Defender,13500000.0,25,-65.52204832160474,-38.44419463088859,"13,500,000.0"
Argentina,Juan Musso,Goalkeeper,18000000.0,27,-65.01973037007015,-37.86791574847851,"18,000,000.0"
Argentina,Nicolas Dominguez,Midfield,11700000.0,23,-65.69937195280473,-38.84838517514595,"11,700,000.0"
Argentina,Paulo Dybala,Attack,36000000.0,28,-68.13442061008814,-38.64936458064282,"36,000,000.0"
Argentina,Cristian Ansaldi,Defender,900000.0,35,-69.73235819120835,-37.895207251867205,"900,000.0"
Argentina,Javier Mendoza,Attack,225000.0,29,-58.77062621318242,-36.87528750738276,"225,000.0"
Argentina,Brian Lluy,Defender,180000.0,32,-61.67196004326086,-35.765089417325015,"180,000.0"
