player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url,age
485658,2021,1083,kirill-folmer,Kirill Folmer,Russia,Russia,2000-02-25,Midfield,midfield - Central Midfield,Left,178,360000.0,450000.0,https://www.transfermarkt.co.uk/kirill-folmer/profil/spieler/485658,21
334998,2021,65,robin-kehr,Robin Kehr,Germany,Germany,2000-02-22,Attack,attack - Centre-Forward,Left,189,135000.0,135000.0,https://www.transfermarkt.co.uk/robin-kehr/profil/spieler/334998,21
596813,2021,65,dickson-abiama,Dickson Abiama,Nigeria,Nigeria,1998-11-03,Attack,attack - Centre-Forward,Right,184,810000.0,810000.0,https://www.transfermarkt.co.uk/dickson-abiama/profil/spieler/596813,23
448177,2021,65,jessic-ngankam,Jessic Ngankam,Germany,Germany,2000-07-20,Attack,attack - Centre-Forward,Right,184,1080000.0,1080000.0,https://www.transfermarkt.co.uk/jessic-ngankam/profil/spieler/448177,21
410649,2021,65,afimico-pululu,Afimico Pululu,Angola,Angola,1999-03-23,Attack,attack - Centre-Forward,Left,175,1350000.0,2700000.0,https://www.transfermarkt.co.uk/afimico-pululu/profil/spieler/410649,22
138399,2021,41231,ibragim-tsallagov,Ibragim Tsallagov,UdSSR,Russia,1990-12-12,Midfield,midfield - Defensive Midfield,Right,179,2250000.0,2880000.0,https://www.transfermarkt.co.uk/ibragim-tsallagov/profil/spieler/138399,31
136181,2021,65,havard-nielsen,Havard Nielsen,Norway,Norway,1993-07-15,Attack,attack - Centre-Forward,Right,187,1080000.0,1800000.0,https://www.transfermarkt.co.uk/havard-nielsen/profil/spieler/136181,28
370287,2021,41231,dmitri-vorobyev,Dmitri Vorobyev,Russia,Russia,1997-11-28,Attack,attack - Centre-Forward,Right,184,450000.0,675000.0,https://www.transfermarkt.co.uk/dmitri-vorobyev/profil/spieler/370287,24
390379,2021,19789,mustafa-eskihellac,Mustafa Eskihellac,Turkey,Turkey,1997-05-05,Attack,attack - Right Winger,Right,175,810000.0,1350000.0,https://www.transfermarkt.co.uk/mustafa-eskihellac/profil/spieler/390379,24
306382,2021,19789,benjamin-tetteh,Benjamin Tetteh,Ghana,Ghana,1997-07-10,Attack,attack - Centre-Forward,Both,193,2069999.0,4050000.0,https://www.transfermarkt.co.uk/benjamin-tetteh/profil/spieler/306382,24
335725,2021,11688,shapi-suleymanov,Shapi Suleymanov,Russia,Russia,1999-12-16,Attack,attack - Right Winger,Left,171,3150000.0,10800000.0,https://www.transfermarkt.co.uk/shapi-suleymanov/profil/spieler/335725,22
987700,2021,16704,jonathan-okoronkwo,Jonathan Okoronkwo,Nigeria,Nigeria,2003-09-13,Attack,attack - Centre-Forward,Right,175,270000.0,270000.0,https://www.transfermarkt.co.uk/jonathan-okoronkwo/profil/spieler/987700,18
60577,2021,1010,nicolas-nkoulou,Nicolas Nkoulou,Cameroon,Cameroon,1990-03-27,Defender,Defender - Centre-Back,Right,184,3600000.0,18000000.0,https://www.transfermarkt.co.uk/nicolas-nkoulou/profil/spieler/60577,31
364861,2021,11688,fousseni-diabate,Fousseni Diabate,France,Mali,1995-10-18,Attack,attack - Right Winger,Left,175,2430000.0,2700000.0,https://www.transfermarkt.co.uk/fousseni-diabate/profil/spieler/364861,26
220650,2021,16704,vladimir-iljin,Vladimir Iljin,Russia,Russia,1992-05-20,Attack,attack - Centre-Forward,Right,187,900000.0,1980000.0,https://www.transfermarkt.co.uk/vladimir-iljin/profil/spieler/220650,29
701335,2021,11688,cihat-topatan,Cihat Topatan,Germany,Turkey,2001-07-19,Attack,attack - Left Winger,Left,171,23000.0,23000.0,https://www.transfermarkt.co.uk/cihat-topatan/profil/spieler/701335,20
666616,2021,16704,olakunle-olusegun,Olakunle Olusegun,Nigeria,Nigeria,2002-04-23,Attack,attack - Centre-Forward,Right,170,630000.0,630000.0,https://www.transfermarkt.co.uk/olakunle-olusegun/profil/spieler/666616,19
63200,2021,1132,ashley-barnes,Ashley Barnes,England,England,1989-10-30,Attack,attack - Centre-Forward,Right,185,1800000.0,9000000.0,https://www.transfermarkt.co.uk/ashley-barnes/profil/spieler/63200,32
418559,2021,16704,erik-botheim,Erik Botheim,Norway,Norway,2000-01-10,Attack,attack - Centre-Forward,Right,185,3600000.0,3600000.0,https://www.transfermarkt.co.uk/erik-botheim/profil/spieler/418559,21
101500,2021,1132,matej-vydra,Matej Vydra,CSSR,Czech Republic,1992-05-01,Attack,attack - Centre-Forward,Right,180,2700000.0,9000000.0,https://www.transfermarkt.co.uk/matej-vydra/profil/spieler/101500,29
228645,2021,1132,wout-weghorst,Wout Weghorst,Netherlands,Netherlands,1992-08-07,Attack,attack - Centre-Forward,Right,197,15300000.0,27000000.0,https://www.transfermarkt.co.uk/wout-weghorst/profil/spieler/228645,29
89231,2021,1132,johann-berg-gudmundsson,Johann Berg Gudmundsson,Iceland,Iceland,1990-10-27,Attack,attack - Right Winger,Left,186,2700000.0,9000000.0,https://www.transfermarkt.co.uk/johann-berg-gudmundsson/profil/spieler/89231,31
